,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
250450,2013,7,1,1.0,2029,212.0,236.0,2359,157.0,B6,915,N653JB,JFK,SFO,315.0,2586,20,29,2013-07-02T00:00:00Z
250451,2013,7,1,2.0,2359,3.0,344.0,344,0.0,B6,1503,N805JB,JFK,SJU,200.0,1598,23,59,2013-07-02T03:00:00Z
250452,2013,7,1,29.0,2245,104.0,151.0,1,110.0,B6,234,N348JB,JFK,BTV,66.0,266,22,45,2013-07-02T02:00:00Z
250453,2013,7,1,43.0,2130,193.0,322.0,14,188.0,B6,1371,N794JB,LGA,FLL,143.0,1076,21,30,2013-07-02T01:00:00Z
250454,2013,7,1,44.0,2150,174.0,300.0,100,120.0,AA,185,N324AA,JFK,LAX,297.0,2475,21,50,2013-07-02T01:00:00Z
250455,2013,7,1,46.0,2051,235.0,304.0,2358,186.0,B6,165,N640JB,JFK,PDX,304.0,2454,20,51,2013-07-02T00:00:00Z
250456,2013,7,1,48.0,2001,287.0,308.0,2305,243.0,VX,415,N627VA,JFK,LAX,298.0,2475,20,1,2013-07-02T00:00:00Z
250457,2013,7,1,58.0,2155,183.0,335.0,43,172.0,B6,425,N535JB,JFK,TPA,140.0,1005,21,55,2013-07-02T01:00:00Z
250458,2013,7,1,100.0,2146,194.0,327.0,30,177.0,B6,1183,N531JB,JFK,MCO,126.0,944,21,46,2013-07-02T01:00:00Z
250459,2013,7,1,100.0,2245,135.0,337.0,135,122.0,B6,623,N663JB,JFK,LAX,304.0,2475,22,45,2013-07-02T02:00:00Z
250460,2013,7,1,107.0,2245,142.0,158.0,2359,119.0,B6,1816,N249JB,JFK,SYR,39.0,209,22,45,2013-07-02T02:00:00Z
250461,2013,7,1,111.0,2359,72.0,448.0,340,68.0,B6,839,N608JB,JFK,BQN,199.0,1576,23,59,2013-07-02T03:00:00Z
250462,2013,7,1,114.0,2135,219.0,310.0,8,182.0,B6,611,N584JB,JFK,LAS,276.0,2248,21,35,2013-07-02T01:00:00Z
250463,2013,7,1,459.0,500,-1.0,642.0,640,2.0,US,1431,N167US,EWR,CLT,87.0,529,5,0,2013-07-01T09:00:00Z
250464,2013,7,1,538.0,540,-2.0,800.0,810,-10.0,UA,332,N442UA,EWR,IAH,185.0,1400,5,40,2013-07-01T09:00:00Z
250465,2013,7,1,540.0,540,0.0,841.0,840,1.0,AA,701,N5ENAA,JFK,MIA,155.0,1089,5,40,2013-07-01T09:00:00Z
250466,2013,7,1,543.0,545,-2.0,932.0,921,11.0,B6,939,N708JB,JFK,BQN,198.0,1576,5,45,2013-07-01T09:00:00Z
250467,2013,7,1,547.0,548,-1.0,903.0,851,12.0,UA,651,N545UA,EWR,SFO,343.0,2565,5,48,2013-07-01T09:00:00Z
250468,2013,7,1,548.0,545,3.0,815.0,819,-4.0,UA,1714,N14237,LGA,IAH,188.0,1416,5,45,2013-07-01T09:00:00Z
250469,2013,7,1,549.0,600,-11.0,645.0,655,-10.0,US,1629,N959UW,LGA,PHL,37.0,96,6,0,2013-07-01T10:00:00Z
250470,2013,7,1,551.0,600,-9.0,721.0,700,21.0,US,2114,N751UW,LGA,BOS,38.0,184,6,0,2013-07-01T10:00:00Z
250471,2013,7,1,554.0,600,-6.0,707.0,659,8.0,US,2161,N752US,LGA,DCA,45.0,214,6,0,2013-07-01T10:00:00Z
250472,2013,7,1,556.0,600,-4.0,820.0,825,-5.0,DL,461,N915DL,LGA,ATL,119.0,762,6,0,2013-07-01T10:00:00Z
250473,2013,7,1,557.0,600,-3.0,817.0,802,15.0,EV,4372,N21129,EWR,MSP,154.0,1008,6,0,2013-07-01T10:00:00Z
250474,2013,7,1,557.0,600,-3.0,727.0,730,-3.0,EV,4424,N18101,EWR,RDU,69.0,416,6,0,2013-07-01T10:00:00Z
250475,2013,7,1,557.0,600,-3.0,719.0,716,3.0,EV,6177,N13908,EWR,IAD,47.0,212,6,0,2013-07-01T10:00:00Z
250476,2013,7,1,557.0,600,-3.0,712.0,725,-13.0,AA,301,N496AA,LGA,ORD,110.0,733,6,0,2013-07-01T10:00:00Z
250477,2013,7,1,557.0,605,-8.0,838.0,820,18.0,MQ,3550,N521MQ,LGA,ATL,123.0,762,6,5,2013-07-01T10:00:00Z
